session,task_id,task_type,correct,category,final_answer,expected,cited_source_session,memory_truncated,memory_included_sessions
1,noise_3,independent,True,correct,1,1,,False,
2,cs_establish,independent,True,correct,yes,yes,,False,1
3,noise_2,independent,True,correct,2170,2170,,False,1;2
4,noise_1,independent,True,correct,7,7,,False,1;2;3
5,pt_establish,independent,True,correct,39,39,,False,1;2;3;4
6,hv_establish,independent,True,correct,6,6,,False,1;2;3;4;5
7,ew_establish,independent,True,correct,70,70,,False,1;2;3;4;5;6
8,cs_consume_4,dependent,True,correct,5,5,2,False,1;2;3;4;5;6;7
9,cs_consume_1,dependent,True,correct,yes,yes,8,False,1;2;3;4;5;6;7;8
10,hv_consume_2,dependent,True,correct,4,4,6,False,1;2;3;4;5;6;7;8;9
11,hv_consume_1,dependent,True,correct,6,6,6,False,1;2;3;4;5;6;7;8;9;10
12,pt_revise,independent,True,correct,38,38,,False,1;2;3;4;5;6;7;8;9;10;11
13,cs_consume_3,dependent,True,correct,5062,5062,8,False,1;2;3;4;5;6;7;8;9;10;11;12
14,pi_establish,independent,True,correct,18,18,,False,1;2;3;4;5;6;7;8;9;10;11;12;13
15,pi_consume_1,dependent,True,correct,16,16,14,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14
16,ew_revise,independent,False,wrong,55,58,7,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
17,ew_trap_3,trap,True,correct,22,22,16,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
18,ew_trap_4,trap,False,wrong_other,55,58,16,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
19,cs_consume_2,dependent,True,correct,yes,yes,8,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
20,ew_trap_1,trap,True,correct,8,8,16,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
21,ew_trap_2,trap,True,correct,3,3,16,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
22,pt_trap_4,trap,True,correct,6,6,12,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
23,pt_trap_2,trap,True,correct,6,6,12,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
24,pi_consume_3,dependent,True,correct,8,8,14,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
25,pi_consume_4,dependent,True,correct,33,33,14,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
26,pi_consume_2,dependent,True,correct,753,753,14,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
27,hv_consume_3,dependent,True,correct,26,26,6,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
28,pt_trap_1,trap,True,correct,7,7,12,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
29,hv_consume_4,dependent,True,correct,18,18,6,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
30,pt_trap_3,trap,True,correct,6,6,12,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
