session,task_id,task_type,correct,category,final_answer,expected,cited_source_session,memory_truncated,memory_included_sessions
1,ew_establish,independent,False,wrong,0,70,,False,
2,pt_establish,independent,False,wrong,22,39,,False,
3,noise_1,independent,True,correct,7,7,,False,
4,hv_establish,independent,True,correct,6,6,,False,
5,cs_establish,independent,False,wrong,,yes,,False,
6,ew_revise,independent,False,wrong,0,58,,False,
7,cs_consume_3,dependent,False,wrong,3698,5062,,False,
8,cs_consume_2,dependent,True,correct,yes,yes,,False,
9,cs_consume_4,dependent,False,wrong,6,5,,False,
10,pi_establish,independent,False,wrong,13,18,,False,
11,ew_trap_4,trap,False,wrong_other,,58,,False,
12,pi_consume_4,dependent,False,wrong,0,33,,False,
13,cs_consume_1,dependent,False,wrong,,yes,,False,
14,hv_consume_1,dependent,False,wrong,,6,,False,
15,ew_trap_2,trap,False,wrong_other,,3,,False,
16,noise_2,independent,False,wrong,,2170,,False,
17,pi_consume_3,dependent,False,wrong,,8,,False,
18,hv_consume_4,dependent,False,wrong,0,18,,False,
19,pi_consume_1,dependent,False,wrong,36,16,,False,
20,pi_consume_2,dependent,False,wrong,,753,,False,
21,noise_3,independent,True,correct,1,1,,False,
22,ew_trap_1,trap,False,wrong_other,,8,,False,
23,pt_revise,independent,False,wrong,,38,,False,
24,pt_trap_3,trap,False,wrong_other,,6,,False,
25,hv_consume_2,dependent,False,wrong,0,4,,False,
26,pt_trap_2,trap,False,wrong_other,,6,,False,
27,pt_trap_4,trap,False,wrong_other,,6,,False,
28,ew_trap_3,trap,False,wrong_other,,22,,False,
29,pt_trap_1,trap,False,wrong_other,,7,,False,
30,hv_consume_3,dependent,False,wrong,31,26,,False,
