session,task_id,task_type,correct,category,final_answer,expected,cited_source_session,memory_truncated,memory_included_sessions
1,noise_1,independent,True,correct,7,7,,False,
2,pi_establish,independent,True,correct,18,18,,False,1
3,pi_consume_1,dependent,True,correct,16,16,2,False,1;2
4,cs_establish,independent,True,correct,yes,yes,,False,1;2;3
5,pi_consume_2,dependent,True,correct,753,753,2,False,1;2;3;4
6,pt_establish,independent,True,correct,39,39,,False,1;2;3;4;5
7,pi_consume_3,dependent,True,correct,8,8,2,False,1;2;3;4;5;6
8,cs_consume_4,dependent,True,correct,5,5,4,False,1;2;3;4;5;6;7
9,noise_3,independent,True,correct,1,1,,False,1;2;3;4;5;6;7;8
10,ew_establish,independent,True,correct,70,70,,False,1;2;3;4;5;6;7;8;9
11,hv_establish,independent,True,correct,6,6,,False,1;2;3;4;5;6;7;8;9;10
12,hv_consume_4,dependent,True,correct,18,18,11,False,1;2;3;4;5;6;7;8;9;10;11
13,pi_consume_4,dependent,True,correct,33,33,2,False,1;2;3;4;5;6;7;8;9;10;11;12
14,cs_consume_1,dependent,True,correct,yes,yes,4,False,1;2;3;4;5;6;7;8;9;10;11;12;13
15,ew_revise,independent,True,correct,58,58,10,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14
16,hv_consume_2,dependent,True,correct,4,4,11,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
17,cs_consume_3,dependent,True,correct,5062,5062,4,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
18,ew_trap_2,trap,True,correct,3,3,15,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
19,ew_trap_1,trap,True,correct,8,8,15,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
20,pt_revise,independent,True,correct,38,38,6,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
21,hv_consume_1,dependent,True,correct,6,6,11,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
22,hv_consume_3,dependent,True,correct,26,26,11,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
23,noise_2,independent,True,correct,2170,2170,,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
24,pt_trap_4,trap,True,correct,6,6,20,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
25,ew_trap_3,trap,True,correct,22,22,15,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
26,pt_trap_1,trap,True,correct,7,7,20,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
27,pt_trap_3,trap,True,correct,6,6,20,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
28,cs_consume_2,dependent,True,correct,yes,yes,4,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
29,pt_trap_2,trap,True,correct,6,6,20,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
30,ew_trap_4,trap,True,correct,58,58,15,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
