session,task_id,task_type,correct,category,final_answer,expected,cited_source_session,memory_truncated,memory_included_sessions
1,ew_establish,independent,True,correct,70,70,,False,
2,pt_establish,independent,True,correct,39,39,,False,1
3,noise_1,independent,True,correct,7,7,,False,1;2
4,hv_establish,independent,True,correct,6,6,,False,1
5,cs_establish,independent,True,correct,yes,yes,,False,1;2;4
6,ew_revise,independent,True,correct,58,58,1,False,1;4
7,cs_consume_3,dependent,True,correct,5062,5062,,False,2;4;5
8,cs_consume_2,dependent,True,correct,yes,yes,5,False,5;7
9,cs_consume_4,dependent,True,correct,5,5,5,False,4;5;7;8
10,pi_establish,independent,True,correct,18,18,,False,1;2;3;4
11,ew_trap_4,trap,True,correct,58,58,6,False,1;4;6
12,pi_consume_4,dependent,True,correct,33,33,10,False,2;3;4;10
13,cs_consume_1,dependent,True,correct,yes,yes,5,False,5;7;8;9
14,hv_consume_1,dependent,True,correct,6,6,4,False,1;4;10;12
15,ew_trap_2,trap,True,correct,3,3,6,False,1;6;11
16,noise_2,independent,True,correct,2170,2170,,False,1;7;11
17,pi_consume_3,dependent,True,correct,8,8,10,False,3;10;12;14
18,hv_consume_4,dependent,True,correct,18,18,4,False,4;10;14;15
19,pi_consume_1,dependent,True,correct,16,16,10,False,10;12;17;18
20,pi_consume_2,dependent,True,correct,753,753,10,False,10;12;17;19
21,noise_3,independent,True,correct,1,1,,False,1;2;4;9
22,ew_trap_1,trap,True,correct,8,8,6,False,1;6;11;15
23,pt_revise,independent,True,correct,38,38,,False,1;2;6;15
24,pt_trap_3,trap,True,correct,6,6,23,False,2;10;20;23
25,hv_consume_2,dependent,True,correct,4,4,4,False,4;14;15;18
26,pt_trap_2,trap,True,correct,6,6,23,False,2;10;23;24
27,pt_trap_4,trap,True,correct,6,6,23,False,2;23;24;26
28,ew_trap_3,trap,False,interference_confirmed,28,22,1,False,1;11;15;22
29,pt_trap_1,trap,True,correct,7,7,23,False,23;24;26;27
30,hv_consume_3,dependent,True,correct,26,26,4,False,4;14;18;25
