session,task_id,task_type,correct,category,final_answer,expected,cited_source_session,memory_truncated,memory_included_sessions
1,noise_3,independent,True,correct,1,1,,False,
2,cs_establish,independent,True,correct,yes,yes,,False,
3,noise_2,independent,True,correct,2170,2170,,False,
4,noise_1,independent,True,correct,7,7,,False,
5,pt_establish,independent,True,correct,39,39,,False,
6,hv_establish,independent,True,correct,6,6,,False,
7,ew_establish,independent,True,correct,70,70,,False,
8,cs_consume_4,dependent,False,wrong,,5,,False,
9,cs_consume_1,dependent,False,wrong,,yes,,False,
10,hv_consume_2,dependent,False,wrong,,4,,False,
11,hv_consume_1,dependent,False,wrong,,6,,False,
12,pt_revise,independent,True,correct,38,38,,False,
13,cs_consume_3,dependent,False,wrong,,5062,,False,
14,pi_establish,independent,True,correct,18,18,,False,
15,pi_consume_1,dependent,False,wrong,,16,,False,
16,ew_revise,independent,False,wrong,77,58,,False,
17,ew_trap_3,trap,False,wrong_other,,22,,False,
18,ew_trap_4,trap,False,wrong_other,,58,,False,
19,cs_consume_2,dependent,False,wrong,,yes,,False,
20,ew_trap_1,trap,False,wrong_other,,8,,False,
21,ew_trap_2,trap,False,wrong_other,,3,,False,
22,pt_trap_4,trap,False,wrong_other,,6,,False,
23,pt_trap_2,trap,False,wrong_other,,6,,False,
24,pi_consume_3,dependent,False,wrong,"unknown - no record of a ""Q3 expansion priority industries"" list found in available docs or prior session history",8,,False,
25,pi_consume_4,dependent,False,wrong,,33,,False,
26,pi_consume_2,dependent,False,wrong,,753,,False,
27,hv_consume_3,dependent,False,wrong,,26,,False,
28,pt_trap_1,trap,False,wrong_other,,7,,False,
29,hv_consume_4,dependent,False,wrong,,18,,False,
30,pt_trap_3,trap,False,wrong_other,,6,,False,
